01001,75326,38.2
01003,80986,43
01005,47068,40.4
01007,60182,40.9
01009,65639,40.7
01011,48571,40.2
01013,55971,40.8
01015,63417,39.6
01017,53505,42
01019,57617,46.5
01021,62784,38.7
01023,52395,46.3
01025,54687,42.5
01027,57585,43.3
01029,57990,43.1
01031,70079,39.3
01033,60904,42.4
01035,47286,44.8
01037,56017,48.4
01039,57075,43.3
01041,61468,41.7
01043,59909,40.8
01045,61001,37.3
01047,47753,39.6
01049,56390,39.5
01051,78370,38.7
01053,50242,40
01055,60379,41.4
01057,53897,43.7
01059,56907,38.6
01061,53077,43.2
01063,36431,40.9
01065,51992,40.5
01067,62696,44.4
01069,67855,40.1
01071,54808,43.1
01073,78812,37.7
01075,54252,44.8
01077,65763,41
01079,58315,42.4
01081,71547,31.9
01083,77275,39.7
01085,47139,42
01087,50091,38.6
01089,88291,38.5
01091,54556,42.2
01093,50367,44.3
01095,63834,38.8
01097,64948,37.9
01099,48659,43.3
01101,70975,36.4
01103,68318,40.6
01105,35819,36.9
01107,56370,42.2
01109,57838,31.2
01111,58836,43.4
01113,55932,36.3
01115,70326,40.3
01117,100262,39.3
01119,38978,35.6
01121,57269,41.3
01123,60734,44.7
01125,71528,33
01127,59159,42.1
01129,60489,43.7
01131,42500,40.5
01133,53167,45.2
02013,79535,42.5
02016,101964,38.6
02020,109988,33.6
02050,70804,27.3
02060,96032,42.9
02068,85694,42.1
02070,72576,30.2
02090,96615,31.3
02100,72356,44.7
02105,76767,49.6
02110,107328,38.1
02122,85348,40.8
02130,92764,39.7
02150,94946,33.9
02158,47654,24.1
02164,58583,34.8
02170,92246,35.2
02180,76581,28.3
02185,94169,35.2
02188,79967,27.8
02195,92572,42.8
02198,66387,41.3
02220,90196,39.5
02230,82263,40.4
02240,80810,36.8
02261,96106,38.1
02275,71889,49.4
02282,76895,36.9
02290,53438,35.2
04001,44477,35
04003,64446,41.1
04005,77638,30.7
04007,58074,50.2
04009,60143,33.6
04011,74470,34.5
04012,48900,56.5
04013,89019,36.4
04015,60395,51.6
04017,54678,37.3
04019,73554,38.5
04021,71325,39.3
04023,61551,36.7
04025,68419,53.4
04027,59526,34.6
05001,61946,40.7
05003,59845,41.7
05005,59206,52.2
05007,92398,35.4
05009,60651,42.3
05011,56779,40.6
05013,58285,44.5
05015,62300,45
05017,50528,43.3
05019,54473,33.7
05021,50617,42.8
05023,61420,49.4
05025,59231,42.9
05027,54263,35.7
05029,61828,42.5
05031,67880,34.2
05033,62144,38.6
05035,57972,35.2
05037,63421,40.9
05039,45536,43.9
05041,45429,40.1
05043,64337,37.4
05045,70726,32.8
05047,50816,41.2
05049,47206,48.4
05051,63652,45
05053,71564,41
05055,60189,38
05057,55612,40.4
05059,56264,41.3
05061,57580,39.2
05063,60581,39.3
05065,54216,47.9
05067,53156,39.7
05069,54417,38.7
05071,52147,38.4
05073,60652,47
05075,53357,40.8
05077,45765,42.5
05079,58167,39
05081,59109,42.9
05083,52925,42
05085,72425,36.2
05087,61176,42.7
05089,48180,52.2
05091,59733,39.5
05093,56558,36.6
05095,49632,47.3
05097,49849,50.4
05099,45948,44.3
05101,47594,49
05103,50129,43
05105,61422,43.7
05107,44558,38.9
05109,56352,43.1
05111,51257,40.1
05113,55295,43.9
05115,61268,35.3
05117,57282,47.2
05119,78246,37.2
05121,54318,41.1
05123,48443,38.8
05125,78299,39.6
05127,46067,40.7
05129,48048,47.9
05131,63505,37.6
05133,63163,35.3
05135,48262,47.6
05137,49809,50.1
05139,61326,40.3
05141,51898,48
05143,72327,32
05145,61393,36.9
05147,51320,45.5
05149,59191,40.3
06001,130710,37.6
06003,97724,52.2
06005,81659,50.5
06007,75746,37.1
06009,84039,52
06011,77196,35.3
06013,135742,39.7
06015,63515,39.5
06017,110041,45.9
06019,74776,32.2
06021,62706,36.4
06023,68313,38.4
06025,64355,32.4
06027,71376,45.8
06029,73478,31.6
06031,72812,31.8
06033,66591,45.6
06035,71713,36.6
06037,99133,36.5
06039,74861,34.1
06041,176019,46.8
06043,61727,51.7
06045,70648,43.1
06047,74379,31.1
06049,53699,47.8
06051,84427,37.7
06053,97451,34.4
06055,123451,41.3
06057,91634,50.5
06059,122488,38.1
06061,115043,42
06063,77027,52.3
06065,88875,35.6
06067,88883,36.2
06069,106604,35.7
06071,81382,33.3
06073,106600,35.8
06075,160396,38.2
06077,86090,34.3
06079,96196,39.2
06081,174055,39.7
06083,106421,33.8
06085,164962,37.1
06087,115265,37.8
06089,73415,41.5
06091,74547,54.8
06093,64251,47.8
06095,100842,38.1
06097,108169,42.1
06099,79228,34.1
06101,79429,35.7
06103,61939,41
06105,54714,52.5
06107,69493,31
06109,83571,48.4
06111,115600,38.1
06113,98244,31
06115,72679,32.8
08001,87596,33.8
08003,56513,31.8
08005,104990,36.6
08007,71666,50.9
08009,51324,46
08011,44983,40.2
08013,115966,36.6
08014,124778,37.8
08015,70142,49.2
08017,70046,39.4
08019,84430,48.1
08021,50114,38.8
